play,author,year,subtitle,score
hofmannsthal-jedermann,Hofmannsthal,1911,Das Spiel vom Sterben des reichen Mannes,-0.06842992309022136
holz-jerschke-traumulus,Holz,1904,Tragische Komödie,0.1197411632721372
holz-schlaf-die-familie-selicke,Holz,1890,Drama in drei Aufzügen,0.1575000804277999
horvath-geschichten-aus-dem-wiener-wald,Horváth,1931,Volksstück in drei Teilen,0.0908021396755728
horvath-kasimir-und-karoline,Horváth,1932,Volksstück,0.10673278834694401
iffland-das-erbtheil-des-vaters,Iffland,1802,Ein Schauspiel in vier Aufzügen,0.08867469617541965
iffland-der-spieler,Iffland,1796,Ein Schauspiel in fünf Aufzügen,0.08602148850621705
iffland-die-jaeger,Iffland,1785,Ein ländliches Sittengemälde in fünf Aufzügen,0.10240023404916274
iffland-liebe-und-wille,Iffland,1814,Ein ländliches Gespräch in einer Handlung,-0.022474509046341545
iffland-verbrechen-aus-ehrsucht,Iffland,1784,Ein Familiengemälde in fünf Aufzügen,0.06426167564617627
immermann-die-bojaren,Immermann,1832,Schauspiel,-0.1475441213691627
immermann-eudoxia,Immermann,1832,Ein Epilog,-0.20129437955624563
immermann-merlin,Immermann,1832,Eine Mythe,-0.1703502209641746
kafka-der-gruftwaechter,Kafka,1917,,0.01143170471083275
kaiser-die-koralle,Kaiser,1917,Schauspiel in fünf Akten,5.4521811054033696e-05
kaiser-die-schule-des-armen,Kaiser,1847,Original-Charakterbild mit Gesang in vier Akten,0.0960875474922276
kaltneker-das-bergwerk,Kaltneker,1921,Ein Drama in drei Akten,-0.03966837410833966
kannengiesser-die-vierbeinigten-philosophen,Kannengießer,1802,Ein Trauerspiel in einem Act,0.05948773688130011
kind-der-freischuetz,Kind,1821,Romantische Oper in drei Aufzügen,-0.09192491985007885
klabund-der-kreidekreis,Klabund,1925,Spiel in fünf Akten nach dem Chinesischen,-0.06093930483764782
kleist-das-kaethchen-von-heilbronn,Kleist,1810,Ein großes historisches Ritterschauspiel,-0.10020908368453055
kleist-die-hermannsschlacht,Kleist,1808,Ein Drama,-0.15182592253424226
kleist-prinz-friedrich-von-homburg,Kleist,1810,Ein Schauspiel,-0.1428457668812782
klinger-die-neue-arria,Klinger,1776,Ein Schauspiel,-0.06434067385942377
klinger-prinz-seiden-wurm-der-reformator,Klinger,1780,Ein moralisches Drama aus dem fünften Theil des Orpheus,-0.027036492272963293
klinger-simsone-grisaldo,Klinger,1776,Ein Schauspiel in fünf Akten,-0.09545690823317184
klinger-sturm-und-drang,Klinger,1777,Ein Schauspiel,-0.026435134806083015
klopstock-hermanns-schlacht,Klopstock,1769,Ein Bardiet für die Schaubühne,-0.17009567282312069
kobell-der-roaga,Kobell,1847,,0.33947454671554644
koch-die-maennerfeindin,Koch,1803,Schauspiel in einem Aufzuge,0.012515646709220578
koerner-die-blumen,Körner,1811,Ein Spiel in Versen,-0.07290949761959178
kotzebue-das-kind-der-liebe,Kotzebue,1790,Ein Schauspiel in fünf Akten,0.05309077888034639
kotzebue-das-koestlichste,Kotzebue,1806,Schauspiel in Einem Akt,-0.20881220130326522
kotzebue-das-unsichtbare-maedchen,Kotzebue,1811,Ein Intermezzo,0.09180452474186748
kotzebue-der-arme-poet,Kotzebue,1812,Ein Schauspiel in Einem Akt,0.12560605359140173
kotzebue-der-schutzgeist,Kotzebue,1814,Eine dramatische Legende in sechs Akten nebst einem Vorspiel,-0.21544047678103015
kotzebue-graf-benjowsky,Kotzebue,1794,Ein Schauspiel in fünf Aufzügen,-0.06359631928116269
kotzebue-menschenhass-und-reue,Kotzebue,1788,Schauspiel in fünf Aufzügen,0.060215225778307714
kotzebue-ueble-laune,Kotzebue,1797,Ein Schauspiel in vier Akten,0.048853333178884475
kraus-traumstueck,Kraus,1923,,-0.09772189439087206
kupelwieser-fierrabras,Kupelwieser,1897,Heroisch-romantische Oper in drei Akten,-0.27574317133324877
lachmann-salome,Lachmann,1905,Drama in einem Aufzuge,-0.07783577406935573
larronge-hasemanns-toechter,L'Arronge,1877,Volksstück in 4 Akten,0.12720412057419653
larronge-mein-leopold,L'Arronge,1873,Volksstück in 3 Akten,0.16141594935423
lasker-schueler-die-wupper,Lasker-Schüler,1909,Schauspiel in fünf Aufzügen,0.13471351449100846
laube-die-karlsschueler,Laube,1846,,-0.005311314551313011
lautensack-medusa,Lautensack,1904,Aus den Papieren eines Mönches,0.0771895609187088
lawaetz-die-diamanten,Lawätz,1793,Ein Schauspiel in einem Aufzuge. (Wahre Geschichte.),0.05624595029942164
leisewitz-der-besuch-um-mitternacht,Leisewitz,1774,,0.018715400160739987
leisewitz-die-pfandung,Leisewitz,1774,,-0.0032323564137309766
lenz-der-englaender,Lenz,1777,Eine dramatische Phantasei,0.004149659429257797
lenz-die-soldaten,Lenz,1776,Ein Schauspiel,0.11278282533863114
lenz-pandaemonium-germanicum,Lenz,1775,Eine Skizze,0.04764562827042878
lessing-nathan-der-weise,Lessing,1779,Ein dramatisches Gedicht in fünf Aufzügen,-0.023949043869871744
lortzing-der-waffenschmied,Lortzing,1846,Komische Oper in drei Aufzügen,0.015533630956140075
lortzing-der-wildschuetz,Lortzing,1842,Komische Oper in drei Aufzügen,0.05988553726663414
lortzing-zar-und-zimmermann,Lortzing,1837,Komische Oper in drei Aufzügen,0.013791309003054674
maler-mueller-fausts-leben-dramatisiert,Maler Müller,1778,,-0.029248612394458046
maler-mueller-golo-und-genovefa,Maler Müller,1781,Ein Schauspiel in fünf Aufzügen,-0.03463006990284188
marinelli-die-ueberschwemmung,Marinelli,1775,Ein rührendes kleines Stück in einem Aufzuge,-0.0545732250005188
may-babel-und-bibel,May,1906,Arabische Fantasia in zwei Akten,-0.07176813976610373
meisl-der-lustige-fritz,Meisl,1818,Ein Märchen neuerer Zeit in zwei Aufzügen,0.08395311885908249
meisl-orpheus-und-euridice,Meisl,1813,Eine mythologische Karrikatur in zwey Acten in Knittelreimen,0.06074582204922138
moeller-sophie-oder-der-gerechte-fuerst,Möller,1777,Ein Schauspiel in drey Aufzügen,0.011735831135642081
moeser-die-tugend-auf-der-schaubuehne,Möser,1763,Ein Nachspiel in einem Aufzuge,0.1428266011765902
moritz-blunt-oder-der-gast,Moritz,1781,Ein Schauspiel in einem Aufzuge,-0.013136208929058497
mosenthal-das-goldene-kreuz,Mosenthal,1875,Oper in zwei Aufzügen,-0.04968731251650788
mosenthal-die-koenigin-von-saba,Mosenthal,1875,Oper in vier Aufzügen,-0.2860152325022549
mosenthal-die-lustigen-weiber-von-windsor,Mosenthal,1849,Komisch-phantastische Oper in drei Aufzügen,-0.012604622134186954
moser-krieg-oder-frieden,Moser,1859,Dramatische Bagatelle in einem Akt,0.18649004528815227
muehsam-judas,Mühsam,1921,Arbeiterdrama in fünf Akten,0.08654275077774881
muehsam-staatsraeson,Mühsam,1928,Ein Denkmal für Sacco und Vanzetti,0.011495393255873539
musil-die-schwaermer,Musil,1921,Schauspiel in drei Aufzügen,0.061495076802350467
nestroy-judith-und-holofernes,Nestroy,1849,Travestie in einem Akt,0.04937113047088571
neuber-die-beschuetzte-schauspielkunst,Neuber,1736,,-0.02007789670546571
neuber-die-verehrung-der-vollkommenheit,Neuber,1737,,-0.02993843811687807
