play,genre,noble,servant
platen-der-romantische-oedipus,comedy,0.0,0.09090909090909091
platen-die-verhaengnisvolle-gabel,comedy,0.0,0.14285714285714285
pollinger-antonio-del-bassanio,tragedy,0.0,0.0
preusse-herzmutterchen,comedy,0.0,0.0
prutz-die-politische-wochenstube,comedy,0.08695652173913043,0.043478260869565216
quistorp-der-hypochondrist,comedy,0.0,0.0
raimund-der-barometermacher-auf-der-zauberinsel,comedy,0.0,0.038461538461538464
raupach-der-degen,comedy,0.2222222222222222,0.0
raupach-der-versiegelte-burgemeister,comedy,0.0,0.07692307692307693
raupach-kritik-und-antikritik,comedy,0.2857142857142857,0.07142857142857142
reinhardt-die-braut-des-echos,comedy,0.14285714285714285,0.0
reitzenstein-die-negersclaven,tragedy,0.0,0.0
reuter-der-ehrlichen-frau-schlampampe-krankheit-und-tod,comedy,0.0,0.0
reuter-graf-ehrenfried,comedy,0.0,0.0
reuter-l-honnete-femme-oder-die-ehrliche-frau-zu-plissine,comedy,0.0,0.0
richter-eumenides-duester,tragedy,0.0,0.0
rosenow-kater-lampe,comedy,0.0,0.09523809523809523
ruederer-die-fahnenweihe,comedy,0.0,0.125
sachs-das-kaelberbrueten,comedy,0.0,0.3333333333333333
sachs-ein-comedi-von-dem-reichen-sterbenden-menschen-der-hecastus-genannt,comedy,0.0,0.21052631578947367
sachs-eulenspiegel-mit-dem-blauen-hosentuch,comedy,0.0,0.25
sander-die-hoftrauer-oder-das-testament,comedy,0.0,0.0
schaefer-faustine-der-weibliche-faust,tragedy,0.02564102564102564,0.10256410256410256
scheerbart-das-gift,comedy,0.0,0.0
scheerbart-der-herr-vom-jenseits,comedy,0.0,0.0
scheerbart-der-schornsteinfeger,tragedy,0.0,0.0
scheerbart-es-lebe-europa,tragedy,0.0,0.0
scheerbart-herr-kammerdiener-kneetschke,tragedy,0.0,0.1
scheerbart-okurirasuna,comedy,0.2,0.0
schildbach-glueck-durch-unglueck,comedy,0.0,0.0
schiller-die-braut-von-messina,tragedy,0.1111111111111111,0.1111111111111111
schiller-die-jungfrau-von-orleans,tragedy,0.0851063829787234,0.06382978723404255
schiller-die-verschwoerung-des-fiesco-zu-genua,tragedy,0.027777777777777776,0.0
schiller-kabale-und-liebe,tragedy,0.0,0.35294117647058826
schiller-maria-stuart,tragedy,0.0,0.15
schiller-wallensteins-tod,tragedy,0.06060606060606061,0.12121212121212122
schink-der-neue-doktor-faust,comedy,0.0,0.0
schlegel-alarcos,tragedy,0.09090909090909091,0.0
schlegel-canut,tragedy,0.0,0.0
schlegel-der-geschaeftige-muessiggaenger,comedy,0.0,0.0
schlegel-der-triumph-der-guten-frauen,comedy,0.0,0.0
schlegel-die-entfuehrte-dose,comedy,0.0,0.0
schlegel-die-stumme-schoenheit,comedy,0.0,0.0
schlegel-dueval-und-charmille,tragedy,0.1111111111111111,0.0
schlosser-die-maskerade,comedy,0.0,0.0
schnitzler-der-gruene-kakadu,comedy,0.08333333333333333,0.041666666666666664
schnitzler-komoedie-der-verfuehrung,comedy,0.06896551724137931,0.034482758620689655
schnitzler-komtesse-mizzi,comedy,0.2222222222222222,0.2222222222222222
schnitzler-literatur,comedy,0.0,0.0
schnitzler-professor-bernhardi,comedy,0.0,0.13043478260869565
schnitzler-zum-grossen-wurstel,comedy,0.0967741935483871,0.06451612903225806
schoenthan-der-raub-der-sabinerinnen,comedy,0.0,0.0
schrader-der-hohlweg,comedy,0.125,0.125
schuecking-elisabeth,tragedy,0.0625,0.0
schuetz-die-katze-laesst-das-mausen-nicht,comedy,0.0,0.42857142857142855
seemann-dulk-die-waende,comedy,0.0,0.0
sessa-unser-verkehr,comedy,0.0625,0.0625
seume-miltiades,tragedy,0.0,0.0
sievers-die-schatzgraeber,comedy,0.0,0.16666666666666666
solbrig-die-dorfschule,comedy,0.0,0.0
steltzer-franziska-montenegro,tragedy,0.0,0.0
sternheim-der-snob,comedy,0.125,0.125
sturz-julie,tragedy,0.0,0.0
sudermann-der-bettler-von-syrakus,tragedy,0.030303030303030304,0.10606060606060606
sudermann-die-schmetterlingsschlacht,comedy,0.0,0.1
thoma-die-lokalbahn,comedy,0.0,0.0
thoma-die-medaille,comedy,0.0,0.0
thoma-erster-klasse,comedy,0.0,0.0
thoma-lottchens-geburtstag,comedy,0.0,0.0
thoma-moral,comedy,0.0,0.058823529411764705
thon-adelheit-von-rastenberg,tragedy,0.0,0.18181818181818182
